,Legislator name,Connections,Legislator name,Legislative Effectiveness Score
0,Jack Reed,80,Jack Reed,0.346327006816864
1,Kirsten Gillibrand,98,Kirsten Gillibrand,0.3387629985809326
2,Tammy Duckworth,114,Tammy Duckworth,1.5297290086746216
3,Gary Peters,108,Gary Peters,5.015462875366211
4,Elizabeth Warren,86,Elizabeth Warren,0.7253569960594177
5,Martin Heinrich,82,Martin Heinrich,0.7812349796295166
6,Angus King,81,Angus King,0.330157995223999
7,Tim Kaine,89,Tim Kaine,0.423911988735199
8,Mazie K. Hirono,100,Mazie Hirono,0.16578400135040283
9,Richard Blumenthal,127,Richard Blumenthal,0.8352050185203552
10,Jeanne Shaheen,100,Jeanne Shaheen,1.2449519634246826
11,Doug Jones,86,Doug Jones,0.28054100275039673
12,Deb Fischer,132,Deb Fischer,0.8821179866790771
13,David Perdue,108,David Perdue,0.17909400165081024
14,Tom Cotton,87,Tom Cotton,0.3681040108203888
15,Roger Wicker,73,Roger Wicker,3.558171033859253
16,Josh Hawley,92,Josh Hawley,0.9421839714050293
17,Marsha Blackburn,113,Marsha Blackburn,0.5193780064582825
18,Rick Scott,123,Rick Scott,0.4253840148448944
19,Martha McSally,95,Martha McSally,1.4753979444503784
20,Kevin Cramer,106,Kevin Cramer,0.2896620035171509
21,Thom Tillis,87,Thom Tillis,0.7373980283737183
22,Joni Ernst,123,Joni Ernst,0.7227510213851929
23,Mike Rounds,86,Mike Rounds,0.4855540096759796
24,Brian E. Schatz,121,Brian Schatz,0.8039230108261108
25,Johnny Isaksonman,21,Johnny Isakson,0.39155998826026917
26,Pat Roberts,90,Pat Roberts,1.3546299934387207
27,Cory Booker,80,Cory Booker,0.9934759736061096
28,Edward J. Markey,109,Edward Markey,0.7802820205688477
29,Maria Cantwell,126,Maria Cantwell,1.0885900259017944
30,Jacky Rosen,117,Jacky Rosen,0.7565169930458069
31,Mitt Romney,74,Mitt Romney,0.4144819974899292
32,Tim Scott,105,Tim Scott,1.0043549537658691
33,Rand Paul,74,Rand Paul,0.6131629943847656
34,Debbie Stabenow,113,Debbie Stabenow,0.11693000048398972
35,Sherrod Brown,105,Sherrod Brown,0.9094870090484619
36,Tina Smith,96,Tina Smith,0.9738680124282837
37,Michael Bennet,83,Michael Bennet,0.2699640095233917
38,Amy Klobuchar,164,Amy Klobuchar,1.482625961303711
39,Patrick Leahy,116,Patrick Leahy,0.22848400473594666
40,Mitch McConnell,104,Mitch McConnell,0.20445699989795685
41,John Boozman,104,John Boozman,0.25707000494003296
42,John Thune,115,John Thune,0.949413001537323
43,Chuck Grassley,79,Chuck Grassley,2.2142789363861084
44,Mike Braun,114,Mike Braun,1.0564130544662476
45,Cindy Hyde-Smith,105,Cindy Hyde-Smith,0.11927299946546555
46,John Hoeven,87,John Hoeven,1.268555998802185
47,Jon Tester,132,Jon Tester,1.7731460332870483
48,Catherine Cortez Masto,100,Catherine Cortez Masto,1.9014830589294434
49,John Barrasso,52,John Barrasso,1.468714952468872
50,Lisa Murkowski,64,Lisa Murkowski,2.5613160133361816
51,James Lankford,82,James Lankford,1.1228770017623901
52,Steve Daines,88,Steve Daines,1.1340919733047485
53,Jerry Moran,132,Jerry Moran,2.0140790939331055
54,Patty Murray,88,Patty Murray,0.3611859977245331
55,Bernie Sanders,97,Bernard Sanders,0.1361510008573532
56,Kyrsten Sinema,117,Kyrsten Sinema,1.2197409868240356
57,Bill Cassidy,103,Bill Cassidy,1.0840020179748535
58,Susan Collinsman,14,Susan Collins,1.3333159685134888
59,Richard Burr,81,Richard Burr,0.898419976234436
60,Marco Rubio,65,Marco Rubio,3.5885019302368164
61,Chris Van Hollen,94,Chris Van Hollen,0.7886059880256653
62,Mark Warner,89,Mark Walker,0.5657702088356018
63,Mark Warner,89,Mark Warner,0.3398280143737793
64,Pat Toomey,71,Pat Toomey,0.9452729821205139
65,Richard Shelby,71,Richard Shelby,0.09567800164222717
66,Ben Sasse,82,Ben Sasse,0.16762299835681915
67,Tom Udall,128,Tom Udall,1.4404200315475464
68,Tammy Baldwin,102,Tammy Baldwin,1.0083580017089844
69,Roger Wickerman,50,Roger Wicker,3.558171033859253
70,Roy Blunt,98,Roy Blunt,0.7232909798622131
71,Ted Cruz,129,Ted Cruz,0.633554995059967
72,Mike Lee,109,Mike Lee,0.7529000043869019
73,Cory Gardner,90,Cory Gardner,1.839766025543213
74,Ron Wyden,93,Ron Wyden,0.9270560145378113
75,Lisa Murkowskiman,19,Lisa Murkowski,2.5613160133361816
76,Lamar Alexander,67,Lamar Alexander,0.3107529878616333
77,Kamala D. Harris,72,Kamala Harris,0.5119389891624451
78,Rob Portman,80,Rob Portman,1.647953987121582
79,Dianne Feinstein,87,Dianne Feinstein,1.1146390438079834
80,Christopher S. Murphy,73,Christopher Murphy,0.25918298959732056
81,Jeff Merkley,91,Jeff Merkley,2.418256998062134
82,Richard Shelbyman,30,Richard Shelby,0.09567800164222717
83,Lindsey Graham,71,Lindsey Graham,1.9787240028381348
84,Susan Collins,70,Susan Collins,1.3333159685134888
85,Johnny Isakson,70,Johnny Isakson,0.39155998826026917
86,Lamar Alexanderman,22,Lamar Alexander,0.3107529878616333
87,Sheldon Whitehouse,88,Sheldon Whitehouse,0.6481670141220093
88,John Barrassoman,20,John Barrasso,1.468714952468872
89,John Cornyn,66,John Cornyn,2.79012393951416
90,Mike Crapo,77,Mike Crapo,0.26507899165153503
91,Chuck Grassleyman,36,Chuck Grassley,2.2142789363861084
92,Lindsey Grahamman,21,Lindsey Graham,1.9787240028381348
93,Eliot Engel,100,Eliot Engel,3.336190700531006
94,Ilhan Omar,125,Ilhan Omar,0.3280244767665863
95,Dean Phillips,115,Dean Phillips,1.7179830074310303
96,Brad Sherman,143,Brad Sherman,1.7466120719909668
97,Albio Sires,111,Albio Sires,0.31677141785621643
98,Colin Allred,138,Colin Allred,0.1708884835243225
99,Abigail Spanberger,92,Abigail Spanberger,0.9504339098930359
100,Dina Titus,141,Dina Titus,1.7385780811309814
101,David Trone,113,David Trone,1.087242603302002
102,Juan Vargas,106,Juan Vargas,0.9062404036521912
103,Susan Wild,103,Susan Wild,0.4976000487804413
104,Gregory W. Meeks,106,Gregory Meeks,1.4343359470367432
105,Karen Bass,86,Karen Bass,2.2914934158325195
106,Ami Bera,83,Ami Bera,0.9858531951904297
107,Joaquin Castro,115,Joaquin Castro,1.187753438949585
108,David N. Cicilline,86,David Cicilline,3.1578094959259033
109,Jim Costa,132,Jim Costa,0.05964081361889839
110,Theodore E. Deutch,95,Theodore E. Deutch,2.8280396461486816
111,Tom Malinowski,111,Tom Malinowski,1.759255051612854
112,Adriano Espaillat,134,Adriano Espaillat,1.3188122510910034
113,Vicente Gonzalez Jr.,106,Vicente Gonzalez,0.30320775508880615
114,Chrissy Houlahan,125,Chrissy Houlahan,0.21868298947811127
115,Andy Levin,94,Andy Levin,0.6703947186470032
116,Ted Lieu,86,Ted Lieu,1.507662057876587
117,Michael McCaul,76,Michael McCaul,5.0897016525268555
118,Greg Pence,111,Greg Pence,0.05964081361889839
119,Scott Perry,111,Scott Perry,0.3509203791618347
120,Guy Reschenthaler,86,Guy Reschenthaler,0.4334571063518524
121,Francis Rooney,94,Francis Rooney,0.939371645450592
122,Ann Wagner,106,Ann Wagner,0.928634762763977
123,Joe Wilson,102,Joe Wilson,0.8888742327690125
124,Ted Yoho,92,Ted Yoho,0.8202536702156067
125,Lee Zeldin,106,Lee Zeldin,0.8409315943717957
126,Steve Watkins,121,Steve Watkins,0.10934149473905563
127,Brian Mast,111,Brian Mast,0.8645675182342529
128,John Curtis,86,John Curtis,1.2218332290649414
129,Ken Buck,86,Ken Buck,0.15904217958450317
130,Tim Burchett,100,Tim Burchett,0.44988739490509033
131,Steve Chabot,109,Steve Chabot,1.8913886547088623
132,Brian Fitzpatrick,111,Brian Fitzpatrick,0.44038161635398865
133,Michael Guest,85,Michael Guest,1.0236207246780396
134,Adam Kinzinger,100,Adam Kinzinger,0.8415959477424622
135,Ronald Wright,94,Ronald Wright,0.5503163933753967
136,Zoe Lofgren,103,Zoe Lofgren,2.386359691619873
137,Pete Aguilar,60,Pete Aguilar,0.04970067739486694
138,G.K. Butterfield,71,G.K. Butterfield,0.9802416563034058
139,Susan Davis,121,Susan Davis,0.5758082270622253
140,Marcia Fudge,102,Marcia Fudge,0.5473006963729858
141,Jamie Raskin,109,Jamie Raskin,0.2813394367694855
142,Rodney Davis,137,Rodney Davis,0.7845510840415955
143,Mark Walker,86,Mark Walker,0.5657702088356018
144,Mark Walker,86,Mark Warner,0.3398280143737793
145,Barry Loudermilk,86,Barry Loudermilk,0.27701088786125183
146,Alma Adams,154,Alma Adams,1.7837893962860107
147,Mark Takano,75,Mark Takano,4.513885498046875
148,Kim Schrier,94,Kim Schrier,0.6795381307601929
149,Donna Shalala,60,Donna Shalala,0.44789937138557434
150,Haley Stevens,85,Haley Stevens,0.6671755909919739
151,Donald Norcross,104,Donald Norcross,0.2702898383140564
152,Lori Trahan,104,Lori Trahan,0.48765990138053894
153,Lauren Underwood,105,Lauren Underwood,2.442605495452881
154,Frederica S. Wilson,113,Frederica Wilson,0.22862312197685242
155,Joseph Morelle,91,Joseph Morelle,0.3230188488960266
156,Suzanne Bonamici,85,Suzanne Bonamici,1.9157012701034546
157,Joe Courtney,104,Joe Courtney,2.6632678508758545
158,Mark DeSaulnier,153,Mark DeSaulnier,0.39573606848716736
159,Raul Grijalva,88,Raul Grijalva,3.156712293624878
160,Josh Harder,94,Josh Harder,2.260977029800415
161,Jahana Hayes,94,Jahana Hayes,0.35171711444854736
162,Pramila Jayapal,119,Pramila Jayapal,0.8622729182243347
163,Susie Lee,75,Susie Lee,0.9157986640930176
164,Lucy McBath,88,Lucy McBath,1.8496191501617432
165,Virginia Foxx,88,Virginia Foxx,1.1664752960205078
166,Phil Roe,75,Phil Roe,1.887868881225586
167,Lloyd Smucker,113,Lloyd Smucker,0.16898231208324432
168,Elise Stefanik,125,Elise Stefanik,1.7880722284317017
169,Van Taylor,78,Van Taylor,0.3584381341934204
170,Glenn Thompson,94,Glenn Thompson,0.2106490284204483
171,Tim Walberg,102,Tim Walberg,0.7665769457817078
172,Dan Meuser,106,Dan Meuser,0.04970067739486694
173,Jim Banks,131,Jim Banks,0.5771211385726929
174,Bradley Byrne,104,Bradley Byrne,0.27331817150115967
175,Russ Fulcher,88,Russ Fulcher,0.23243547976016998
176,Rick Allen,94,Rick Allen,0.03976054489612579
177,Glenn Grothman,88,Glenn Grothman,0.17097033560276031
178,Brett Guthrie,102,Brett Guthrie,1.1783215999603271
179,Dusty Johnson,94,Dusty Johnson,0.6715168952941895
180,Jerrold Nadler,40,Jerrold Nadler,3.0171329975128174
181,Debbie Mucarsel-Powell,105,Debbie Mucarsel-Powell,0.8082436919212341
182,Joe Neguse,80,Joe Neguse,3.5085272789001465
183,Cedric Richmond,70,Cedric Richmond,1.4765287637710571
184,Mary Gay Scanlon,52,Mary Gay Scanlon,0.477719783782959
185,Greg Stanton,105,Greg Stanton,1.0714024305343628
186,Eric Swalwell,61,Eric Swalwell,0.2702898383140564
187,Madeleine Dean,100,Madeleine Dean,1.678347110748291
188,Steve Cohen,142,Steve Cohen,1.2989979982376099
189,Lou Correa,70,Lou Correa,1.2189539670944214
190,Val Demings,91,Val Demings,0.8303555846214294
191,Veronica Escobar,96,Veronica Escobar,1.5069392919540405
192,Sylvia Garcia,100,Sylvia Garcia,0.7680389285087585
193,Hakeem Jeffries,71,Hakeem Jeffries,2.6289241313934326
194,Sheila Jackson Lee,101,Sheila Jackson Lee,3.87483549118042
