,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
0,Jack Reed,"['Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Sherrod Brown', 'Bob Menendez', 'Kyrsten Sinema', 'Tina Smith', 'Catherine Cortez Masto', 'Chris Van Hollen', 'Brian E. Schatz', 'Mark Warner', 'Jon Tester', 'Mike Crapoman', 'Pat Toomey', 'Tim Scott', 'Richard Shelby', 'Jerry Moran', 'John Neely Kennedy', 'Ben Sasse', 'Patrick Leahy', 'Christopher S. Murphy', 'Tammy Baldwin', 'Chris Coons', 'Jeff Merkley', 'Dick Durbin', 'Dianne Feinstein', 'Patty Murray', 'Tom Udall', 'Richard Shelbyman', 'James Lankford', 'Mitch McConnell', 'Marco Rubio', 'Steve Daines', 'Cindy Hyde-Smith', 'Shelley Moore Capito', 'John Boozman', 'Lamar Alexander', 'John Hoeven', 'Roy Blunt', 'Lindsey Graham', 'Lisa Murkowski', 'Susan Collins']",Jack Reed,0.346327006816864,D
1,Kirsten Gillibrand,"['Jack Reed', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Debbie Stabenow', 'Sherrod Brown', 'Dick Durbin', 'Tina Smith', 'Bob Casey Jr.', 'Michael Bennet', 'Amy Klobuchar', 'Patrick Leahy', 'Pat Robertsman', 'Mitch McConnell', 'John Boozman', 'John Thune', 'Chuck Grassley', 'Mike Braun', 'Cindy Hyde-Smith', 'John Hoeven', 'Kyrsten Sinema', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Tom Carper', 'Edward J. Markey', 'Cory Booker', 'Jeff Merkley', 'Sheldon Whitehouse', 'Bernie Sanders', 'Ben Cardin', 'Chris Van Hollen', 'John Barrassoman', 'Jim Inhofe', 'Richard Shelby', 'Shelley Moore Capito']",Kirsten Gillibrand,0.3387629985809326,D
2,Tammy Duckworth,"['Jack Reed', 'Kirsten Gillibrand', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Ben Cardin', 'Chris Coons', 'Cory Booker', 'Edward J. Markey', 'Maria Cantwell', 'Jacky Rosen', 'Marco Rubioman', 'Jim Risch', 'Mitt Romney', 'John Neely Kennedy', 'Todd C. Young', 'Jim Inhofe', 'Tim Scott', 'Rand Paul', 'Tom Udall', 'Kyrsten Sinema', 'Jon Tester', 'Tammy Baldwin', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Jerry Moran', 'Cory Gardner', 'Tom Carper', 'Jeff Merkley', 'Sheldon Whitehouse', 'Bernie Sanders', 'Chris Van Hollen', 'John Barrassoman', 'Richard Shelby', 'John Boozman', 'Mike Braun']",Tammy Duckworth,1.5297290086746216,D
3,Gary Peters,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Tom Udall', 'Jacky Rosen', 'Kyrsten Sinema', 'Jon Tester', 'Tammy Baldwin', 'Edward J. Markey', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Todd C. Young', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Jerry Moran', 'Cory Gardner', 'Tom Carper', 'Maggie Hassan', 'Kamala D. Harris', 'Ronald Harold Johnsonman', 'Rob Portman', 'Rand Paul', 'James Lankford', 'Mitt Romney', 'Mike Enzi', 'Carolyn B. Maloney', 'Donald Sternoff Beyer Jr.', 'Lois Frankel', 'Joyce Beatty', 'David Trone', 'Denny Heck', 'Ben Sasse', 'Bill Cassidy', 'David Schweikert', 'Kenny Marchant', 'Darin LaHood', 'Jaime Herrera Beutler']",Gary Peters,5.015462875366211,D
4,Elizabeth Warren,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Bob Casey Jr.', 'Kyrsten Sinema', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Mike Braun', 'Sherrod Brown', 'Bob Menendez', 'Tina Smith', 'Catherine Cortez Masto', 'Chris Van Hollen', 'Brian E. Schatz', 'Mark Warner', 'Jon Tester', 'Mike Crapoman', 'Pat Toomey', 'Richard Shelby', 'Jerry Moran', 'John Neely Kennedy', 'Ben Sasse', 'Patty Murray', 'Christopher S. Murphy', 'Maggie Hassan', 'Tammy Baldwin', 'Bernie Sanders', 'Lamar Alexanderman', 'Mike Enzi', 'Pat Roberts', 'Johnny Isakson', 'Mitt Romney', 'Lisa Murkowski', 'Bill Cassidy', 'Susan Collins', 'Rand Paul']",Elizabeth Warren,0.7253569960594177,D
5,Martin Heinrich,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Bernie Sanders', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Bill Cassidy', 'Steve Daines', 'Mike Lee', 'Jim Risch', 'Cory Gardner', 'Mark Warnerman', 'Jack Reed Ex Officio', 'Chuck Schumer Ex Officio', 'Michael Bennet', 'Kamala D. Harris', 'Dianne Feinstein', 'Marco Rubio Interim chairman', 'Jim Inhofe Ex Officio', 'Susan Collins', 'Mitch McConnell', 'Ben Sasse', 'John Cornyn', 'Roy Blunt', 'Richard Burr', 'Carolyn B. Maloney', 'Amy Klobuchar', 'Maggie Hassan', 'Donald Sternoff Beyer Jr.', 'Lois Frankel', 'Joyce Beatty', 'David Trone', 'Denny Heck', 'Ted Cruz', 'Rob Portman', 'David Schweikert', 'Kenny Marchant', 'Darin LaHood', 'Jaime Herrera Beutler']",Martin Heinrich,0.7812349796295166,D
6,Angus King,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Bernie Sanders', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Bill Cassidy', 'Steve Daines', 'Mike Lee', 'Jim Risch', 'Cory Gardner', 'Amy Klobuchar', 'Chuck Schumer', 'Tom Udall', 'Patrick Leahy', 'Mark Warner', 'Dick Durbin', 'Dianne Feinstein', 'Roy Bluntman', 'Pat Roberts', 'Mitch McConnell', 'Shelley Moore Capito', 'Ted Cruz', 'Richard Shelby', 'Mark Warnerman', 'Jack Reed Ex Officio', 'Chuck Schumer Ex Officio', 'Michael Bennet', 'Kamala D. Harris', 'Marco Rubio Interim chairman', 'Jim Inhofe Ex Officio', 'Susan Collins', 'Ben Sasse', 'John Cornyn', 'Roy Blunt', 'Richard Burr']",Angus King,0.330157995223999,R
7,Tim Kaine,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Bob Menendez', 'Cory Booker', 'Jeff Merkley', 'Edward J. Markey', 'Christopher S. Murphy', 'Tom Udall', 'Chris Coons', 'Ben Cardin', 'Jim Rischman', 'Ronald Harold Johnson', 'Mitt Romney', 'Marco Rubio', 'Ted Cruz', 'Todd C. Young', 'Rand Paul', 'Rob Portman', 'John Barrasso', 'Johnny Isakson', 'Lindsey Graham', 'Cory Gardner', 'Patty Murray', 'Jacky Rosen', 'Tina Smith', 'Maggie Hassan', 'Bob Casey Jr.', 'Tammy Baldwin', 'Bernie Sanders', 'Lamar Alexanderman', 'Richard Burr', 'Mike Enzi', 'Pat Roberts', 'Mike Braun', 'Tim Scott', 'Lisa Murkowski', 'Bill Cassidy', 'Susan Collins', 'Kamala D. Harris', 'Chris Van Hollen', 'Mark Warner', 'Sheldon Whitehouse', 'Debbie Stabenow', 'Ron Wyden', 'Mike Enziman', 'Mike Crapo', 'John Neely Kennedy', 'Pat Toomey', 'Chuck Grassley']",Tim Kaine,0.423911988735199,D
8,Mazie K. Hirono,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Ben Cardin', 'Chris Coons', 'Cory Booker', 'Edward J. Markey', 'Maria Cantwell', 'Jacky Rosen', 'Marco Rubioman', 'Jim Risch', 'Mitt Romney', 'John Neely Kennedy', 'Todd C. Young', 'Jim Inhofe', 'Tim Scott', 'Rand Paul', 'Jon Tester', 'Patty Murray', 'Bernie Sanders', 'Sherrod Brown', 'Kyrsten Sinema', 'Johnny Isaksonman', 'John Boozman', 'Bill Cassidy', 'Jerry Moran', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Steve Daines', 'Mike Lee', 'Cory Gardner', 'Dianne Feinstein', 'Dick Durbin', 'Kamala D. Harris', 'Amy Klobuchar', 'Sheldon Whitehouse', 'Patrick Leahy', 'Lindsey Grahamman', 'John Cornyn', 'Chuck Grassley', 'Mike Crapo', 'Ben Sasse', 'Ted Cruz']",Mazie Hirono,0.16578400135040283,D
9,Richard Blumenthal,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Jon Tester', 'Patty Murray', 'Bernie Sanders', 'Sherrod Brown', 'Kyrsten Sinema', 'Johnny Isaksonman', 'John Boozman', 'Bill Cassidy', 'Jerry Moran', 'Bob Casey Jr.', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Mike Braun', 'Maria Cantwell', 'Tom Udall', 'Tammy Baldwin', 'Edward J. Markey', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Todd C. Young', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Cory Gardner', 'Dianne Feinstein', 'Dick Durbin', 'Kamala D. Harris', 'Cory Booker', 'Chris Coons', 'Sheldon Whitehouse', 'Patrick Leahy', 'Lindsey Grahamman', 'John Cornyn', 'Chuck Grassley', 'John Neely Kennedy', 'Mike Crapo', 'Ben Sasse']",Richard Blumenthal,0.8352050185203552,D
