Legislator name,Connections,Legislative Effectiveness Score, bc, ec, cc, dc,Gender Estimates,Predicted Gender,Ethnicity Estimates,Predicted Ethnicity
Jack Reed,"['Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Sherrod Brown', 'Bob Menendez', 'Kyrsten Sinema', 'Tina Smith', 'Catherine Cortez Masto', 'Chris Van Hollen', 'Brian E. Schatz', 'Mark Warner', 'Jon Tester', 'Mike Crapoman', 'Pat Toomey', 'Tim Scott', 'Richard Shelby', 'Jerry Moran', 'John Neely Kennedy', 'Ben Sasse', 'Patrick Leahy', 'Christopher S. Murphy', 'Tammy Baldwin', 'Chris Coons', 'Jeff Merkley', 'Dick Durbin', 'Dianne Feinstein', 'Patty Murray', 'Tom Udall', 'Richard Shelbyman', 'James Lankford', 'Mitch McConnell', 'Marco Rubio', 'Steve Daines', 'Cindy Hyde-Smith', 'Shelley Moore Capito', 'John Boozman', 'Lamar Alexander', 'John Hoeven', 'Roy Blunt', 'Lindsey Graham', 'Lisa Murkowski', 'Susan Collins']",0.346327006816864,0.0017757830032198263,-2.7354366739486552e-18,0.0,0.11732851985559567,"{'male': 0.11446011411247371, 'female': 0.005264514941430893}",male,"{'black': 7.499493095967334e-05, 'hispanic': 0.008237933527625394, 'white': 0.7211824981585633, 'asian': 0.27050457338285167}",white
Kirsten Gillibrand,"['Jack Reed', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Debbie Stabenow', 'Sherrod Brown', 'Dick Durbin', 'Tina Smith', 'Bob Casey Jr.', 'Michael Bennet', 'Amy Klobuchar', 'Patrick Leahy', 'Pat Robertsman', 'Mitch McConnell', 'John Boozman', 'John Thune', 'Chuck Grassley', 'Mike Braun', 'Cindy Hyde-Smith', 'John Hoeven', 'Kyrsten Sinema', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Tom Carper', 'Edward J. Markey', 'Cory Booker', 'Jeff Merkley', 'Sheldon Whitehouse', 'Bernie Sanders', 'Ben Cardin', 'Chris Van Hollen', 'John Barrassoman', 'Jim Inhofe', 'Richard Shelby', 'Shelley Moore Capito']",0.3387629985809326,0.0017799888593595188,-3.847979404718266e-18,0.0018050541516245488,0.10830324909747292,"{'male': 0.00012182432734851284, 'female': 0.00014002247250124525}",female,"{'black': 0.003963606191111235, 'hispanic': 0.00684760835653207, 'white': 0.9817774313081093, 'asian': 0.007411354144247385}",white
Tammy Duckworth,"['Jack Reed', 'Kirsten Gillibrand', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Ben Cardin', 'Chris Coons', 'Cory Booker', 'Edward J. Markey', 'Maria Cantwell', 'Jacky Rosen', 'Marco Rubioman', 'Jim Risch', 'Mitt Romney', 'John Neely Kennedy', 'Todd C. Young', 'Jim Inhofe', 'Tim Scott', 'Rand Paul', 'Tom Udall', 'Kyrsten Sinema', 'Jon Tester', 'Tammy Baldwin', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Jerry Moran', 'Cory Gardner', 'Tom Carper', 'Jeff Merkley', 'Sheldon Whitehouse', 'Bernie Sanders', 'Chris Van Hollen', 'John Barrassoman', 'Richard Shelby', 'John Boozman', 'Mike Braun']",1.5297290086746216,0.0017838943381175705,1.9352714840359356e-18,0.0036101083032490976,0.11552346570397112,"{'male': 0.0004337136509202721, 'female': 6.945872692720464e-05}",male,"{'black': 1.2556225757797129e-05, 'hispanic': 0.0021727216166297645, 'white': 0.9965927344357418, 'asian': 0.001221987721870526}",white
Gary Peters,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Tom Udall', 'Jacky Rosen', 'Kyrsten Sinema', 'Jon Tester', 'Tammy Baldwin', 'Edward J. Markey', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Todd C. Young', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Jerry Moran', 'Cory Gardner', 'Tom Carper', 'Maggie Hassan', 'Kamala D. Harris', 'Ronald Harold Johnsonman', 'Rob Portman', 'Rand Paul', 'James Lankford', 'Mitt Romney', 'Mike Enzi', 'Carolyn B. Maloney', 'Donald Sternoff Beyer Jr.', 'Lois Frankel', 'Joyce Beatty', 'David Trone', 'Denny Heck', 'Ben Sasse', 'Bill Cassidy', 'David Schweikert', 'Kenny Marchant', 'Darin LaHood', 'Jaime Herrera Beutler']",5.015462875366211,0.002252829024836899,1.736046681265621e-17,0.007220216606498195,0.11913357400722022,"{'male': 0.001414442399211089, 'female': 5.194001572383891e-05}",male,"{'black': 5.488973188361489e-05, 'hispanic': 0.001319123065428574, 'white': 0.9964165477136706, 'asian': 0.0022094394890170535}",white
Elizabeth Warren,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Bob Casey Jr.', 'Kyrsten Sinema', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Mike Braun', 'Sherrod Brown', 'Bob Menendez', 'Tina Smith', 'Catherine Cortez Masto', 'Chris Van Hollen', 'Brian E. Schatz', 'Mark Warner', 'Jon Tester', 'Mike Crapoman', 'Pat Toomey', 'Richard Shelby', 'Jerry Moran', 'John Neely Kennedy', 'Ben Sasse', 'Patty Murray', 'Christopher S. Murphy', 'Maggie Hassan', 'Tammy Baldwin', 'Bernie Sanders', 'Lamar Alexanderman', 'Mike Enzi', 'Pat Roberts', 'Johnny Isakson', 'Mitt Romney', 'Lisa Murkowski', 'Bill Cassidy', 'Susan Collins', 'Rand Paul']",0.7253569960594177,0.0017955207869531009,2.0131895070361503e-17,0.009025270758122744,0.11191335740072203,"{'male': 8.072211954203494e-05, 'female': 0.9844097480578867}",female,"{'black': 1.2343688431685863e-05, 'hispanic': 0.0018337271162344147, 'white': 0.9978061941551969, 'asian': 0.0003477350401366398}",white
Martin Heinrich,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Bernie Sanders', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Bill Cassidy', 'Steve Daines', 'Mike Lee', 'Jim Risch', 'Cory Gardner', 'Mark Warnerman', 'Jack Reed Ex Officio', 'Chuck Schumer Ex Officio', 'Michael Bennet', 'Kamala D. Harris', 'Dianne Feinstein', 'Marco Rubio Interim chairman', 'Jim Inhofe Ex Officio', 'Susan Collins', 'Mitch McConnell', 'Ben Sasse', 'John Cornyn', 'Roy Blunt', 'Richard Burr', 'Carolyn B. Maloney', 'Amy Klobuchar', 'Maggie Hassan', 'Donald Sternoff Beyer Jr.', 'Lois Frankel', 'Joyce Beatty', 'David Trone', 'Denny Heck', 'Ted Cruz', 'Rob Portman', 'David Schweikert', 'Kenny Marchant', 'Darin LaHood', 'Jaime Herrera Beutler']",0.7812349796295166,0.002385861618997062,1.962500900671962e-17,0.010830324909747292,0.12454873646209387,"{'male': 0.8787079190354916, 'female': 3.8663438594134046e-05}",male,"{'black': 1.1433185003483287e-05, 'hispanic': 0.004997067413306601, 'white': 0.9941716883462602, 'asian': 0.0008198110554297937}",white
Angus King,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Tim Kaine', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Maria Cantwell', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Bernie Sanders', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Bill Cassidy', 'Steve Daines', 'Mike Lee', 'Jim Risch', 'Cory Gardner', 'Amy Klobuchar', 'Chuck Schumer', 'Tom Udall', 'Patrick Leahy', 'Mark Warner', 'Dick Durbin', 'Dianne Feinstein', 'Roy Bluntman', 'Pat Roberts', 'Mitch McConnell', 'Shelley Moore Capito', 'Ted Cruz', 'Richard Shelby', 'Mark Warnerman', 'Jack Reed Ex Officio', 'Chuck Schumer Ex Officio', 'Michael Bennet', 'Kamala D. Harris', 'Marco Rubio Interim chairman', 'Jim Inhofe Ex Officio', 'Susan Collins', 'Ben Sasse', 'John Cornyn', 'Roy Blunt', 'Richard Burr']",0.330157995223999,0.0018205283144695763,1.5165723640115517e-17,0.01263537906137184,0.11913357400722022,"{'male': 0.00030019976635192665, 'female': 0.0001826100550906788}",male,"{'black': 2.1818993726233713e-05, 'hispanic': 0.002328866800067905, 'white': 0.9881382777994596, 'asian': 0.009511036406746347}",white
Tim Kaine,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Mazie K. Hirono', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Bob Menendez', 'Cory Booker', 'Jeff Merkley', 'Edward J. Markey', 'Christopher S. Murphy', 'Tom Udall', 'Chris Coons', 'Ben Cardin', 'Jim Rischman', 'Ronald Harold Johnson', 'Mitt Romney', 'Marco Rubio', 'Ted Cruz', 'Todd C. Young', 'Rand Paul', 'Rob Portman', 'John Barrasso', 'Johnny Isakson', 'Lindsey Graham', 'Cory Gardner', 'Patty Murray', 'Jacky Rosen', 'Tina Smith', 'Maggie Hassan', 'Bob Casey Jr.', 'Tammy Baldwin', 'Bernie Sanders', 'Lamar Alexanderman', 'Richard Burr', 'Mike Enzi', 'Pat Roberts', 'Mike Braun', 'Tim Scott', 'Lisa Murkowski', 'Bill Cassidy', 'Susan Collins', 'Kamala D. Harris', 'Chris Van Hollen', 'Mark Warner', 'Sheldon Whitehouse', 'Debbie Stabenow', 'Ron Wyden', 'Mike Enziman', 'Mike Crapo', 'John Neely Kennedy', 'Pat Toomey', 'Chuck Grassley']",0.423911988735199,0.0018259836599772326,1.4702232740661318e-17,0.01444043321299639,0.13176895306859207,"{'male': 0.0015326812586256464, 'female': 0.9947800188141755}",female,"{'black': 4.426191576989033e-05, 'hispanic': 0.0020028393170166137, 'white': 0.34718453368071844, 'asian': 0.6507683650864948}",asian
Mazie K. Hirono,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Richard Blumenthal', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Ben Cardin', 'Chris Coons', 'Cory Booker', 'Edward J. Markey', 'Maria Cantwell', 'Jacky Rosen', 'Marco Rubioman', 'Jim Risch', 'Mitt Romney', 'John Neely Kennedy', 'Todd C. Young', 'Jim Inhofe', 'Tim Scott', 'Rand Paul', 'Jon Tester', 'Patty Murray', 'Bernie Sanders', 'Sherrod Brown', 'Kyrsten Sinema', 'Johnny Isaksonman', 'John Boozman', 'Bill Cassidy', 'Jerry Moran', 'Catherine Cortez Masto', 'Debbie Stabenow', 'Ron Wyden', 'Lisa Murkowskiman', 'Lamar Alexander', 'John Barrasso', 'John Hoeven', 'Cindy Hyde-Smith', 'Steve Daines', 'Mike Lee', 'Cory Gardner', 'Dianne Feinstein', 'Dick Durbin', 'Kamala D. Harris', 'Amy Klobuchar', 'Sheldon Whitehouse', 'Patrick Leahy', 'Lindsey Grahamman', 'John Cornyn', 'Chuck Grassley', 'Mike Crapo', 'Ben Sasse', 'Ted Cruz']",0.1657840013504028,0.0018271008994121692,1.5210292445697195e-17,0.016245487364620937,0.12996389891696752,"{'male': 0.0008438528392837651, 'female': 4.7940586904937144e-05}",male,"{'black': 0.96161541113862, 'hispanic': 0.011177940009852205, 'white': 0.0027916376943871125, 'asian': 0.024415011157140547}",black
Richard Blumenthal,"['Jack Reed', 'Kirsten Gillibrand', 'Tammy Duckworth', 'Joe Manchin III', 'Gary Peters', 'Elizabeth Warren', 'Martin Heinrich', 'Angus King', 'Tim Kaine', 'Mazie K. Hirono', 'Jeanne Shaheen', 'Doug Jones', 'Jim Inhofeman', 'Deb Fischer', 'David Perdue', 'Tom Cotton', 'Roger Wicker', 'Josh Hawley', 'Marsha Blackburn', 'Rick Scott', 'Martha McSally', 'Kevin Cramer', 'Daniel S. Sullivan', 'Thom Tillis', 'Joni Ernst', 'Mike Rounds', 'Jon Tester', 'Patty Murray', 'Bernie Sanders', 'Sherrod Brown', 'Kyrsten Sinema', 'Johnny Isaksonman', 'John Boozman', 'Bill Cassidy', 'Jerry Moran', 'Bob Casey Jr.', 'Jacky Rosen', 'Susan Collinsman', 'Tim Scott', 'Richard Burr', 'Marco Rubio', 'Mike Braun', 'Maria Cantwell', 'Tom Udall', 'Tammy Baldwin', 'Edward J. Markey', 'Brian E. Schatz', 'Amy Klobuchar', 'Roger Wickerman', 'Roy Blunt', 'Ted Cruz', 'John Thune', 'Todd C. Young', 'Ronald Harold Johnson', 'Mike Lee', 'Shelley Moore Capito', 'Cory Gardner', 'Dianne Feinstein', 'Dick Durbin', 'Kamala D. Harris', 'Cory Booker', 'Chris Coons', 'Sheldon Whitehouse', 'Patrick Leahy', 'Lindsey Grahamman', 'John Cornyn', 'Chuck Grassley', 'John Neely Kennedy', 'Mike Crapo', 'Ben Sasse']",0.8352050185203552,0.0018206668708438817,1.567155910984781e-17,0.018050541516245487,0.1263537906137184,"{'male': 0.00017264943926479604, 'female': 6.918530262771268e-05}",male,"{'black': 1.5143868246555163e-05, 'hispanic': 0.0007164933536435026, 'white': 0.9987903710861159, 'asian': 0.0004779916919942848}",white
