,Legislator name,Legislative Effectiveness Score,Gender Estimates,Predicted Gender,Ethnicity Estimates,Predicted Ethnicity, bc, ec, cc, dc
0,Jack Reed,0.346327006816864,"{'male': 0.11446011411247371, 'female': 0.005264514941430893}",male,"{'black': 7.499493095967334e-05, 'hispanic': 0.008237933527625394, 'white': 0.7211824981585633, 'asian': 0.27050457338285167}",white,0.0025684337143384414,4.2535422151214e-12,0.3076345793043729,0.5756097560975609
1,Kirsten Gillibrand,0.3387629985809326,"{'male': 0.00012182432734851284, 'female': 0.00014002247250124525}",female,"{'black': 0.003963606191111235, 'hispanic': 0.00684760835653207, 'white': 0.9817774313081093, 'asian': 0.007411354144247385}",white,0.002604326565668031,2.4949745084974176e-12,0.2993224932249322,0.7
2,Tammy Duckworth,1.5297290086746216,"{'male': 0.0004337136509202721, 'female': 6.945872692720464e-05}",male,"{'black': 1.2556225757797129e-05, 'hispanic': 0.0021727216166297645, 'white': 0.9965927344357418, 'asian': 0.001221987721870526}",white,0.0024391445442762372,0.188526533621143,0.7044113762437264,0.624390243902439
3,Gary Peters,5.015462875366211,"{'male': 0.001414442399211089, 'female': 5.194001572383891e-05}",male,"{'black': 5.488973188361489e-05, 'hispanic': 0.001319123065428574, 'white': 0.9964165477136706, 'asian': 0.0022094394890170535}",white,0.002934501953129694,0.0005855565202434749,0.6376290673661884,0.6878048780487804
4,Elizabeth Warren,0.7253569960594177,"{'male': 8.072211954203494e-05, 'female': 0.9844097480578867}",female,"{'black': 1.2343688431685863e-05, 'hispanic': 0.0018337271162344147, 'white': 0.9978061941551969, 'asian': 0.0003477350401366398}",white,0.002456774569531725,0.2596438392462895,0.7111660901169155,0.624390243902439
5,Martin Heinrich,0.7812349796295166,"{'male': 0.8787079190354916, 'female': 3.8663438594134046e-05}",male,"{'black': 1.1433185003483287e-05, 'hispanic': 0.004997067413306601, 'white': 0.9941716883462602, 'asian': 0.0008198110554297937}",white,,,,
6,Angus King,0.330157995223999,"{'male': 0.00030019976635192665, 'female': 0.0001826100550906788}",male,"{'black': 2.1818993726233713e-05, 'hispanic': 0.002328866800067905, 'white': 0.9881382777994596, 'asian': 0.009511036406746347}",white,,,,
7,Tim Kaine,0.423911988735199,"{'male': 0.0015326812586256464, 'female': 0.9947800188141755}",female,"{'black': 4.426191576989033e-05, 'hispanic': 0.0020028393170166137, 'white': 0.34718453368071844, 'asian': 0.6507683650864948}",asian,0.0029766963430913583,1.0883934288021944e-07,0.4955964371930408,0.6780487804878049
8,Mazie K. Hirono,0.1657840013504028,"{'male': 0.0008438528392837651, 'female': 4.7940586904937144e-05}",male,"{'black': 0.96161541113862, 'hispanic': 0.011177940009852205, 'white': 0.0027916376943871125, 'asian': 0.024415011157140547}",black,,,,
9,Richard Blumenthal,0.8352050185203552,"{'male': 0.00017264943926479604, 'female': 6.918530262771268e-05}",male,"{'black': 1.5143868246555163e-05, 'hispanic': 0.0007164933536435026, 'white': 0.9987903710861159, 'asian': 0.0004779916919942848}",white,0.0024391445442762372,0.1230358750829953,0.6954146341463414,0.624390243902439
10,Jeanne Shaheen,1.2449519634246826,"{'male': 0.014741923230617014, 'female': 0.0025770793266981997}",male,"{'black': 0.0002290132269581162, 'hispanic': 0.0007978742246585033, 'white': 0.998075430714928, 'asian': 0.0008976818334548991}",white,0.0029045546636442864,0.0006558603015266173,0.6564288570286171,0.7439024390243902
11,Doug Jones,0.2805410027503967,"{'male': 0.0016141267156479337, 'female': 2.9772107799027848e-05}",male,"{'black': 2.314768040754354e-05, 'hispanic': 0.0029771769750518416, 'white': 0.9959816339968609, 'asian': 0.0010180413476796571}",white,0.0029622184014410284,0.037698574203592426,0.7461761058288549,0.7731707317073171
12,Deb Fischer,0.8821179866790771,"{'male': 0.00017215909039520463, 'female': 7.023966365483588e-05}",male,"{'black': 0.00010134441088915934, 'hispanic': 0.004801137803998178, 'white': 0.9235389796160034, 'asian': 0.07155853816910895}",white,0.0037155893469267972,8.792666960937373e-08,0.5194146341463415,0.802439024390244
13,David Perdue,0.1790940016508102,"{'male': 0.000917054218776792, 'female': 0.001025801490355378}",female,"{'black': 6.203626291879187e-06, 'hispanic': 0.002625904416648908, 'white': 0.9960295720320868, 'asian': 0.001338319924972753}",white,,,,
14,Tom Cotton,0.3681040108203888,"{'male': 0.1679805652839212, 'female': 0.000415359693957533}",male,"{'black': 2.298420015532072e-05, 'hispanic': 0.0016545570341691786, 'white': 0.9957187222841095, 'asian': 0.002603736481565513}",white,0.0028323160264836977,2.4758470216004193e-16,0.12682926829268293,0.8414634146341463
15,Roger Wicker,3.558171033859253,"{'male': 0.00038552940568979926, 'female': 6.064882387665698e-05}",male,"{'black': 4.568540443601182e-05, 'hispanic': 0.0008572170657291227, 'white': 0.9976427255239324, 'asian': 0.0014543720059025484}",white,,,,
16,Josh Hawley,0.9421839714050292,"{'male': 0.0018256659363132764, 'female': 0.0003828767185337101}",male,"{'black': 1.967944249584852e-05, 'hispanic': 0.0010089025833963927, 'white': 0.9955772055510871, 'asian': 0.0033942124230211053}",white,,,,
17,Marsha Blackburn,0.5193780064582825,"{'male': 0.0003259798957523856, 'female': 6.99620017378944e-05}",male,"{'black': 2.260375163781302e-05, 'hispanic': 0.0004280882572078966, 'white': 0.9988421406228367, 'asian': 0.0007071673683173451}",white,0.002903368571667762,1.700229295249358e-16,0.11951219512195121,0.8439024390243902
18,Rick Scott,0.4253840148448944,"{'male': 0.006917080093527674, 'female': 0.00022628384846899225}",male,"{'black': 1.3098181110961956e-05, 'hispanic': 0.0005748673366377765, 'white': 0.9988472357852691, 'asian': 0.0005647986969823983}",white,0.0039074473745499775,1.8555318476950193e-07,0.5559630559540889,0.9048780487804878
19,Martha McSally,1.4753979444503784,"{'male': 0.000332969081980221, 'female': 0.00821652920121515}",female,"{'black': 4.3717082236438554e-05, 'hispanic': 0.0450812226205654, 'white': 0.9544970652526381, 'asian': 0.0003779950445595687}",white,0.0029622184014410284,0.04194305935816625,0.7485226628164803,0.7731707317073171
20,Kevin Cramer,0.2896620035171509,"{'male': 0.000993965436232525, 'female': 9.729352823232163e-05}",male,"{'black': 2.2950466565770006e-05, 'hispanic': 0.0011759378653946207, 'white': 0.9977090479448065, 'asian': 0.0010920637232327995}",white,0.002719112168129164,5.537063763245305e-07,0.46636320402201237,0.6463414634146342
21,Thom Tillis,0.7373980283737183,"{'male': 0.14601723478857132, 'female': 0.0002696280685490327}",male,"{'black': 1.4471779170184245e-05, 'hispanic': 0.0007976627210886476, 'white': 0.99841529752272, 'asian': 0.0007725679770214627}",white,0.002456774569531725,0.23336882645462345,0.7089138445341288,0.624390243902439
22,Joni Ernst,0.7227510213851929,"{'male': 0.705488191856493, 'female': 0.0004758224862488467}",male,"{'black': 0.00013518482161131192, 'hispanic': 0.003752633065506238, 'white': 0.9886368666598646, 'asian': 0.007475315453018049}",white,0.0029891266576032006,2.242627343930017e-12,0.31869918699186994,0.8951219512195122
23,Mike Rounds,0.4855540096759796,"{'male': 0.9344810727086972, 'female': 6.813902967417378e-05}",male,"{'black': 1.9777931027690043e-05, 'hispanic': 0.0014386733157182477, 'white': 0.9955146932725977, 'asian': 0.003026855480656261}",white,,,,
