,Legislator name,Legislative Effectiveness Score,party,Name,name,speech
0,Ralph Abraham,0.03976054489612579,R,abraham,abraham," Mr. ABRAHAM. Mr. Speaker, on Friday, July 24, I was unavoidably  detained on rollcall vote No. 166. Had I been present to vote, I would  have voted ``nay'' on rollcall vote No. 166.  Personal Explanation    "
1,Alma Adams,1.7837893962860107,D,adams,adams," Ms. ADAMS. Mr. Speaker, on that I demand the yeas and nays.  The SPEAKER pro tempore. Pursuant to section 3 of ', House Resolution 965, ', the yeas and nays are ordered.  Pursuant to clause 8 of rule XX, further proceedings on this motion  will be postponed.    "
2,Robert Aderholt,0.019880272448062897,R,aderholt,aderholt," Mr. ADERHOLT. Mr. Speaker, I would like to lend my support of this  fiscal year 2021 appropriations package.  I thank the Chair of the Appropriations Committee, Mrs. Lowey, and my  friend, Chairman Serrano, as they prepare to retire for their many  years of dedication and hard work to this institution and I wish them  both well.  I also want to thank Ranking Member Granger for her outstanding  leadership this year.  I'm pleased that this bill supports the Trump Administration's Moon  to Mars Artemis initiative and rejects radical demands to defund the  police. It also restores long-standing Second Amendment protections  that have enjoyed historical, bipartisan support yet were excluded [["", Page , H7311, ] from the House-passed Commerce, Justice, Science Appropriations Act.  I am also pleased that this bill rejects issues which previously held  up a COVID relief agreement. This bill provides individuals, families,  health care providers, and businesses the assistance which we can agree  on, to help everyone get through this pandemic. It also looks to the  future by providing additional funding to expand internet access in  rural areas.    "
3,Pete Aguilar,0.04970067739486694,D,aguilar,aguilar," Mr. AGUILAR. Madam Speaker, I thank the gentlewoman for yielding.  The agreement before us today recognizes that to get our economy  moving again, to return to something that feels like normalcy, we must  get this virus under control.  In this agreement, Democrats secured billions to rapidly distribute a  free and safe vaccine and to invest in nationwide testing and tracing  measures that will save lives.  It isn't perfect, and more action is required to address the  challenges that Americans are facing, but it is everything we can do  right now with this Senate and this President.  With this bill, we have averted a sudden end to unemployment benefits  that millions would have faced and added $300 per week to the benefit.  We funded a new round of survival checks and emergency rental  assistance, included an eviction moratorium, and boosted SNAP and child  nutrition benefits.  And for the small businesses struggling to keep the lights on, this  bill provides billions in economic assistance to forgivable loans.  Across this country, people in communities like mine are hurting.  Frankly, they have been hurting for far too long.  We are going to work with the Biden-Harris administration to build on  this progress and deliver for the American people, and I am confident  that brighter days are ahead.    "
4,Rick Allen,0.03976054489612579,R,allen,allen," Mr. ALLEN. Mr. Speaker, I was unable to vote on December 10, 2020.  Had I been present, I would have voted ``nay'' on rollcall No. 242 and  ``yea'' on rollcall No. 243.  personal explanation    "
5,Colin Allred,0.1708884835243225,D,allred,allred," Mr. ALLRED. Mr. Speaker, I want to speak to the people of north  Texas, many of whom are under Stay Home, Stay Safe orders from smart  leaders like Dallas County Judge Clay Jenkins and Dallas Mayor Eric  Johnson.  I know many of you are frightened. I have heard from many of you who  are worried about your family's health, your job, and your business. I  want you to know that we are on your side. We are with you. We will not  let this great country fail. We will defeat this virus in a way that  leaves no one behind.  We should follow the examples of our brave first responders. Every  American owes them a debt of gratitude. But we can best honor their  service by staying home, if you can, and following the orders that have  been issued.    "
6,Justin Amash,0.17892244458198547,R,amash,amash," Mr. AMASH. Madam Speaker, had there been a recorded vote, I would  have voted ``nay'' on "", H.R. 748, ', Coronavirus Aid, Relief, and Economic  Security Act, as amended.    "
7,Mark Amodei,0.36837828159332275,R,amodei,amodei," Mr. AMODEI. Mr. Speaker, I thank my colleagues from Missouri and Ohio  for their graciousness in granting me some time, and also my colleagues  from Tennessee for their comments.  In short, this bill is about savings. It has already been mentioned,  ', H.R. 7995, ' wants to save money when it comes to the fact that it costs  the Mint almost a half-cent to make a nickel. It costs them 1.75 cents  to make a penny. The dime and the quarter are not far behind.  No disrespect to anybody here who has spoken before, but quite  frankly, when all else fails, read the Constitution and read the bill.  The Constitution says that we have the ability to coin money, to  regulate the value of the money, and foreign money, and we also have  weights and measures.  ', H.R. 7995, ' is not a long bill, ladies and gentlemen. Essentially, it  is two pages long, and it talks about changing the metal content.  Nowhere in Article I does it say anything about the content of the  metal of the coin. So when my colleague from Missouri says this is a  commonsense measure that is just meant to save money, it is like that  is it. There is no mystery here.  We lose money on every one of those pennies and nickels that we coin.  We want to regulate. We want to give the Mint the ability to regulate  the metal content.  I am going to say it once more, and then I will stop. We want,  through ', H.R. 7995, "", to give the Mint the ability to regulate the metal  content of the coin. None of the things that are covered in this  provision are in the Constitution, with all due respect.  But guess what? It is not like: Okay, that is it. End of analysis.  Please support the bill.  The last part is this. Despite the fact that it is not in there about  metal content and changing any of the specifically enumerated  constitutional provisions, there are still provisions in this bill that  say: But out of an abundance of caution, let's go ahead and make sure  that the Congress knows when we change the metallic content of a coin,  with the idea of saving money for taxpayers, and make sure that other  stakeholders don't have objections.  So, if anything, we have expanded the meaning of that provision in  the Constitution to say, oh, by the way, [["", Page , H6039, ] let's talk to Congress and make sure they are okay, even though it is  not in this section.  So, with all due respect, I would request your favorable  consideration. I thank the committee of jurisdiction for its look at  this, and I urge your support.    "
8,Kelly Armstrong,0.04970067739486694,R,armstrong,armstrong," Mr. ARMSTRONG. Mr. Speaker, with all of the concerns that exist, I  think the goal of transparency and cost effectiveness are still worthy  of this, and I urge support of the bill.  Mr. Speaker, I yield back the balance of my time.    "
9,Jodey Arrington,0.19880270957946777,R,arrington,arrington," Mr. ARRINGTON. Mr. Speaker, I rise in support of this legislation to  provide relief to our fellow Americans, accelerate our Nation's  economic recovery, and ensure our great Nation comes back better,  stronger, and healthier than ever.  I don't want to belabor my deep concerns with the process except to  say, Mr. Speaker, that it is fundamentally broken and that it was  unnecessarily prolonged for purely political reasons. The American  people waited, and waited for months. They deserve better, Mr. Speaker.  Mr. Speaker, I thank my dear friend, fellow Texan and ranking member,  Kay Granger; our leader, Kevin McCarthy; Kevin Brady; and many others  who helped finalize this agreement.  It is far from perfect. I haven't met perfect legislation since  coming to Washington. But it does a good job of supporting our  struggling families, small businesses, healthcare professionals,  teachers, and other frontline workers at a time when many desperately  need it, and all of this at a fraction of Speaker Pelosi's $3.3  trillion bailout bonanza, which included cash for illegals, legalizing  marijuana, and a host of other unnecessary and irresponsible  provisions.  Mr. Speaker, it is no small feat to keep our annual spending below  the budget cap, and I commend my colleagues, including Chairwoman  Lowey, for that.  To do that and prevail in protecting troops and including their pay  raise, funding for the border wall, preserving [["", Page , H7307, ] the sacred protections for our unborn, I have got to tell you, that is  pretty darn good.  It is hard for me to stand for some of this stuff in this bill, this  omnibus. But on balance, it is good for the country, and I am standing  with Chairwoman Lowey, and I am standing with my fellow Texan, Kay  Granger.  God bless America.    "
